"¸®ºä","Á¡¼ö"
"ÀÌ ¿µÈ­¸¦ º¸°í ¾ÏÀÌ ³ª¾Ò½À´Ï´Ù.  ","10"
"ÀÌ°ÍÀºÀý´ë1Á¡ÀÌ¾Æ´Ï´Ù11Á¡À»ÁÖ°í½ÍÀº ³»¸¶À½ÀÌ´Ù  ","1"
"¸ð´ÏÅÍµµ ¿ï°í ¿ÜÀåÇÏµåµµ ¿ï°í ¼û¾îÀÖ´ø ¹ÙÀÌ·¯½ºµµ ¿ï¾ú´Ù  ","10"
"´ç½ÅÀÌ ÀÌ ¿µÈ­¸¦ º¸Áö ¾Ê¾Ò´Ù¸é  ¾ÆÁ÷ »ì¾ÆÀÖÀ» ÀÌÀ¯ ÇÏ³ª¸¦ °£Á÷ÇÏ°í ÀÖ´Â °ÍÀÌ´Ù.  ","10"
"¿µÈ­°è¿£ BC¿Í AC°¡ ÀÖ´Ù. Before Clementain, After Clementain...  ","10"
"³²Ä£ Áý¿¡¼­ Å¬·¹¸àÅ¸ÀÎ DVD¸¦ ¹ß°ßÇß°í, °áÈ¥À» °á½ÉÇß½À´Ï´Ù.  ","10"
"µåµð¾î º¸¾Ò³×¿ä. ³ªÀÌ 40´ë Áß¹Ý¿¡ ÀÌ·± °¨µ¿À» ´À³¥ ¼ö ÀÖÀ½¿¡ ½º½º·Îµµ ´ë°ßÇÑ »ý°¢ÀÌ µì´Ï´Ù. ¸Õ ÈÊ³¯ Á¦ ¾ÆÀÌµéµµ ÀÌ ¿µÈ­¸¦ º¸°í Àú¿Í °°Àº °¨µ¿À» ´À³¢±æ ¹Ù¶ó´Â °Ç ±×Àú ¹Ù·¥ÀÌ°ÚÁö¿ä?  ","10"
"ÆòÁ¡±ï¾Æ³»¸®´Â ³¬½Ã±Û ¸î°³ÀÖ´Âµ¥ Á¦¹ß±×¸¸ÇØ¶ó ÀÌ±âÀûÀÎ»õ³¢µé¾ÆÁÁÀº°Ç ³ª´©´Â°Å´Ù  ","10"
"Àå³­À¸·Î ¾²Áö¸¶¶ó... º»ÀÎÀº 2004³â¿¡ ½ÇÁ¦·Î ±ØÀå¿¡¼­ ÀÌ ¿µÈ­¸¦ ºÃ´Ù  ","10"
"³»°¡ °¡Àå ºÎ·¯¿î »ç¶÷Àº ÀÌ¿µÈ­¸¦ ¾ÆÁ÷ º¸Áö¾ÊÀº »ç¶÷ÀÌ´Ù.. º¸±âÀüÀ¸·Î µ¹¾Æ°¡ ±×¶§¿¡ ´À²¼´ø °¨µ¿À» ´Ù½Ã ´À³¢°í½Í´Ù...  ","10"
